Date,Open,High,Low,Close,Volume,Adj Close
7/1/2015,271.109985,272.619995,267.850006,269.149994,2101200,269.149994
7/2/2015,280.200012,282.450012,273.309998,280.019989,7163900,280.019989
7/6/2015,278.880005,281.690002,276.299988,279.720001,4121900,279.720001
7/7/2015,275,275.200012,260.769989,267.880005,6105100,267.880005
7/8/2015,259.320007,260.799988,254.309998,254.960007,6221100,254.960007
7/9/2015,259.079987,262.950012,256.790009,257.920013,3325100,257.920013
7/10/2015,262.220001,263,257.820007,259.149994,2610900,259.149994
7/13/2015,262.25,262.549988,256.049988,262.160004,2960300,262.160004
7/14/2015,262.100006,265.98999,260.51001,265.649994,1907600,265.649994
7/15/2015,266.73999,267.48999,262.079987,263.140015,2021600,263.140015
7/16/2015,264.220001,267.200012,263.160004,266.679993,1616000,266.679993
7/17/2015,272.5,275.540009,268.25,274.660004,5004100,274.660004
7/20/2015,275,286.649994,272.540009,282.26001,4978500,282.26001
7/21/2015,270.049988,273.5,266.549988,266.769989,6108700,266.769989
7/22/2015,261.269989,269.440002,260.859985,267.869995,3105000,267.869995
7/23/2015,269.649994,269.899994,265.269989,267.200012,2227200,267.200012
7/24/2015,267.380005,271.089996,263.920013,265.410004,2836500,265.410004
7/27/2015,262.429993,264.429993,250.789993,253.009995,4694200,253.009995
7/28/2015,255.75,265.399994,251.839996,264.820007,3895800,264.820007
7/29/2015,264.269989,267.890015,262,263.820007,2790100,263.820007
7/30/2015,262.690002,266.940002,262.109985,266.790009,2034600,266.790009
7/31/2015,267.600006,269.359985,265.119995,266.149994,2222600,266.149994
8/3/2015,266.290009,266.709991,257.070007,259.98999,2553500,259.98999
8/4/2015,260.01001,266.720001,258.339996,266.279999,2352500,266.279999
8/5/2015,263.579987,271,260.399994,270.130005,6214300,270.130005
8/6/2015,249.539993,255,236.119995,246.130005,14623800,246.130005
8/7/2015,243.580002,243.729996,238.389999,242.509995,5073400,242.509995
8/10/2015,238.149994,242.970001,236.050003,241.139999,4185900,241.139999
8/11/2015,237.149994,239.300003,234.440002,237.369995,4264900,237.369995
8/12/2015,235,239.770004,232.740005,238.169998,3728000,238.169998
8/13/2015,239.860001,246.479996,239.119995,242.509995,4689200,242.509995
8/14/2015,247.240005,247.929993,241.770004,243.149994,4364800,243.149994
8/17/2015,255.559998,256.589996,250.509995,254.990005,7176700,254.990005
8/18/2015,255.380005,260.950012,253.559998,260.720001,4195000,260.720001
8/19/2015,260.329987,260.649994,255.020004,255.25,3596200,255.25
8/20/2015,252.059998,254.559998,241.899994,242.179993,4905800,242.179993
8/21/2015,236,243.800003,230.509995,230.770004,6590200,230.770004
8/24/2015,202.789993,231.399994,195,218.869995,9581600,218.869995
8/25/2015,230.520004,230.899994,219.119995,220.029999,4327300,220.029999
8/26/2015,227.929993,228,215.509995,224.839996,4963000,224.839996
8/27/2015,231,244.75,230.809998,242.990005,7656000,242.990005
8/28/2015,241.860001,251.449997,241.570007,248.479996,5513700,248.479996
8/31/2015,245.619995,254.949997,245.509995,249.059998,4700200,249.059998
9/1/2015,240.339996,246,236.970001,238.630005,5454800,238.630005
9/2/2015,245.300003,247.880005,239.779999,247.690002,4629200,247.690002
9/3/2015,252.059998,252.080002,245,245.570007,4194800,245.570007
9/4/2015,240.889999,244.089996,238.199997,241.929993,3689200,241.929993
9/8/2015,245.050003,249.160004,244.050003,248.169998,3138200,248.169998
9/9/2015,252.050003,254.25,248.300003,248.910004,3390800,248.910004
9/10/2015,247.229996,250.720001,245.330002,248.479996,2709000,248.479996
9/11/2015,247.639999,250.240005,244.729996,250.240005,2350800,250.240005
9/14/2015,251.100006,254.25,249.669998,253.190002,2890900,253.190002
9/15/2015,252.75,254.600006,249.5,253.570007,2933500,253.570007
9/16/2015,253.039993,262.880005,252.880005,262.25,4417100,262.25
9/17/2015,263.959991,265.5,260.690002,262.070007,3585800,262.070007
9/18/2015,257.959991,263.820007,257.5,260.619995,3763100,260.619995
9/21/2015,263.980011,271.570007,255.800003,264.200012,6120200,264.200012
9/22/2015,259.029999,262.649994,255.869995,260.940002,3664400,260.940002
9/23/2015,261.950012,262.079987,257.579987,261.059998,2600800,261.059998
9/24/2015,259.529999,263.450012,256.209991,263.119995,3448200,263.119995
9/25/2015,266.609985,266.910004,256.149994,256.910004,3773400,256.910004
9/28/2015,257.350006,259.790009,246.610001,248.429993,4901100,248.429993
9/29/2015,250.460007,254.729996,245.460007,246.649994,3703200,246.649994
9/30/2015,252,252.399994,242.339996,248.399994,4929600,248.399994
10/1/2015,247.509995,248.5,237.130005,239.880005,4573000,239.880005
10/2/2015,235.600006,247.699997,234.929993,247.570007,4424000,247.570007
10/5/2015,248.839996,249.839996,244.130005,246.149994,3689900,246.149994
10/6/2015,240,243.029999,235.580002,241.460007,5225200,241.460007
10/7/2015,236.630005,237.699997,229.119995,231.960007,6814000,231.960007
10/8/2015,230.080002,230.720001,221.309998,226.720001,6133200,226.720001
10/9/2015,220.929993,224.369995,218.360001,220.690002,6158400,220.690002
10/12/2015,222.990005,223,215.270004,215.580002,3836300,215.580002
10/13/2015,213.279999,222.520004,211.130005,219.25,5171500,219.25
10/14/2015,220.669998,220.949997,215.429993,216.880005,3104400,216.880005
10/15/2015,216.429993,221.729996,213.699997,221.309998,2844200,221.309998
10/16/2015,223.039993,230.479996,222.869995,227.009995,4334500,227.009995
10/19/2015,226.5,231.149994,224.940002,228.100006,2507900,228.100006
10/20/2015,227.720001,228.600006,202,213.029999,14863300,213.029999
10/21/2015,211.990005,214.809998,208.800003,210.089996,4151500,210.089996
10/22/2015,211.559998,215.75,209.399994,211.720001,2825200,211.720001
10/23/2015,215,215.350006,207.690002,209.089996,4235500,209.089996
10/26/2015,211.380005,215.880005,210,215.259995,3391400,215.259995
10/27/2015,214.839996,217.100006,207.509995,210.350006,3519400,210.350006
10/28/2015,211.309998,213.449997,208.300003,212.960007,2728600,212.960007
10/29/2015,211.75,213.75,210.639999,211.630005,1805000,211.630005
10/30/2015,210.399994,211.630005,203.889999,206.929993,4438900,206.929993
11/2/2015,208.919998,215.800003,207.220001,213.789993,3927900,213.789993
11/3/2015,213.850006,214.440002,207.75,208.350006,8332500,208.350006
11/4/2015,227,232.740005,225.199997,231.630005,12726400,231.630005
11/5/2015,230.580002,234.580002,229.190002,231.770004,4496800,231.770004
11/6/2015,230.699997,233.360001,229.5,232.360001,2445300,232.360001
11/9/2015,232.990005,232.990005,224.309998,225.330002,3850900,225.330002
11/10/2015,223.479996,223.699997,216.080002,216.5,4617000,216.5
11/11/2015,217.770004,219.479996,213.630005,219.080002,3347800,219.080002
11/12/2015,217.850006,219,212.660004,212.940002,2915900,212.940002
11/13/2015,212.949997,212.990005,206.520004,207.190002,3430300,207.190002
11/16/2015,206.089996,214.979996,205.800003,214.309998,2925400,214.309998
11/17/2015,215.199997,216,211.399994,214,2148700,214
11/18/2015,214.5,221.380005,212.520004,221.070007,2811900,221.070007
11/19/2015,220.539993,226.190002,220.300003,221.800003,2504400,221.800003
